,Provider_Name,Address,County,City,Doses_W1,Doses_W2,Doses_W3,Doses_W4,Doses_W5,Doses_W6,Sum
1,15RX Pharmacy-2,"11212 State Hwy 151, Plaza-2",BEXAR,San Antonio,NA,NA,NA,100,NA,NA,100
2,"23330 Emergency Center, LLC",23330 US 59 North,HARRIS,Kingwood,NA,NA,100,NA,NA,NA,100
3,38th Street Pharmacy,711 WEST 38TH STREET C-3,TRAVIS,Austin,NA,200,NA,NA,NA,NA,200
4,A&P Pharmacy DBA Roanoke Pharmacy,207 E Byron Nelson Blvd,DENTON,Roanoke,NA,NA,NA,100,NA,NA,100
5,A+ Life Style Medical Group,815 Hwy 71 W,BASTROP,Bastrop,NA,NA,NA,NA,100,1000,1100
6,Abilene Diagnostic Clinic - Abilene - Antilley,1665 Antilley Road,TAYLOR,Abilene,NA,400,NA,NA,NA,NA,400
7,Abilene Regional Medical Center,6250 Hwy 83/84 At Antilley Rd,TAYLOR,Abilene,NA,NA,NA,NA,100,NA,100
8,ABULATORY STRATEGIES PHYSICIAN GROUP,4046 Dowlen Road,JEFFERSON,Beaumont,NA,500,NA,NA,NA,NA,500
9,Accelhealth Stephenville,135 River North Blvd,ERATH,Stephenville,NA,NA,NA,NA,100,NA,100
10,Access Health Clinic,6402 Louetta Rd Ste 140,HARRIS,Spring,NA,500,NA,NA,NA,NA,500
11,Acres Home Health Center,818 Ringold St,HARRIS,Houston,NA,100,NA,NA,NA,NA,100
12,"AD Hospital East, LLC",12950 East Frwy,HARRIS,Houston,NA,NA,500,NA,100,NA,600
13,Adoue Community Health Network,1111 West Adoue,BRAZORIA,Alvin,NA,100,NA,NA,NA,NA,100
14,Advanced Pain Care,2000 S Mays Street,WILLIAMSON,Round Rock,NA,200,NA,NA,NA,NA,200
15,Ahf Pharmacy,7777 Forest Lane.,DALLAS,Dallas,NA,NA,NA,100,NA,NA,100
16,AIRLINE DOCTORS FAMILY AND PEDIATRIC CLINICS,5990 airline drive,HARRIS,Houston,NA,NA,NA,100,NA,NA,100
17,Albertsons Pharmacy,2200 N Yarbrough,EL PASO,El Paso,NA,NA,NA,200,NA,NA,200
18,Albertsons Pharmacy 0716,200 West Crawford Street,GRAYSON,Denison,NA,NA,NA,100,NA,NA,100
19,Albertsons Pharmacy 4133,427 E FM 1382,DALLAS,Cedar Hill,NA,100,NA,NA,NA,NA,100
20,Albertsons Pharmacy 671,3317 N Midland Dr,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100
21,Albertsons Pharmacy 674,4706 N Midkiff Road,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100
22,Albertsons Pharmacy 676,2751 N County Rd W,ECTOR,Odessa,NA,NA,NA,100,NA,NA,100
23,Albertsons Pharmacy 677,1350 E 8th St,ECTOR,Odessa,NA,NA,NA,200,NA,NA,200
24,Albertsons Pharmacy 678,3121 Sunset Dr,TOM GREEN,San Angelo,NA,NA,NA,100,NA,NA,100
25,Aldine Health Center,4755 Aldine Mail Route Rd,HARRIS,Houston,NA,NA,NA,NA,100,NA,100
26,Aledo Family Medicine,317 FM 1187 North,PARKER,Aledo,NA,500,NA,NA,NA,NA,500
27,Allen Fire Department,310 Century Pkwy,COLLIN,Allen,NA,200,NA,300,NA,2000,2500
28,Allison Cancer Center,400 Rosalind Grover Pkwy,MIDLAND,Midland,NA,NA,NA,100,NA,NA,100
29,Altus Baytown Hospital,14120 FM 2100,HARRIS,Crosby,NA,500,NA,NA,NA,NA,500
